id,status,ip,exposure_date,clinical_date,notification_date,removal_date,recovery_date,vacc_date,region,county,cluster,xcoord,ycoord,area,type,animal,total
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.02197791264726,-27.733581610271173,766.2864589317484,chicken-meat-farm,chicken,136
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.72015280331829,-27.11020956247772,283.8486126354708,chicken-meat-farm,chicken,263
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.68599566652045,-27.06255810323963,147.6575120509245,chicken-meat-farm,chicken,212
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.04357650028402,-27.558742976822256,117.19277991360858,chicken-meat-farm,chicken,384
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.83677153023115,-27.742113387553022,149.7871493466159,chicken-meat-farm,chicken,452
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.1460163007074,-27.602911192868625,298.5935727682606,chicken-meat-farm,chicken,357
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.26395445711825,-28.464812882558206,128.24808943477538,chicken-meat-farm,chicken,269
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.20691166331096,-28.81447223213666,324.81782201799103,chicken-meat-farm,chicken,332
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.43368472882685,-28.327667094949078,51.23850971014078,chicken-meat-farm,chicken,888
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.663730568767,-33.460701349990416,88.04250316438248,chicken-meat-farm,chicken,898
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.88668218585377,-34.045350752256155,32.088583262016286,chicken-meat-farm,chicken,372
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.85039355541426,-33.62709423427826,83.56639025643194,chicken-meat-farm,chicken,229
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.81851118069216,-33.40989076617795,26.028734760895837,chicken-meat-farm,chicken,385
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.53575588704342,-34.011882066870285,140.42226940303817,chicken-meat-farm,chicken,591
14,NA,NA,23/01/2026,NA,NA,NA,NA,NA,NA,NA,NA,151.111939506115,-33.6941509335647,234.5486927999985,chicken-meat-farm,chicken,502
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.0850383725222,-34.564806009059865,191.41991763501636,chicken-meat-farm,chicken,316
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.83085185098545,-34.05335173421787,178.81028097429345,chicken-meat-farm,chicken,138
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.31302922596768,-34.628632672727385,103.17810882430166,chicken-meat-farm,chicken,346
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.94486242994492,-32.63234797411114,314.3867743620837,chicken-meat-farm,chicken,868
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.66843327128663,-32.260857035221065,354.6337763226094,chicken-meat-farm,chicken,464
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.4923970920239,-32.44286423400253,154.83718979394823,chicken-meat-farm,chicken,309
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.6315735202314,-33.645908953125826,167.38321403341766,chicken-meat-farm,chicken,196
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.06534271216475,-33.75460640780241,76.5984240650058,chicken-meat-farm,chicken,351
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.93886111850207,-33.66299007563495,279.3446920774799,chicken-meat-farm,chicken,396
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.16371212469517,-33.61605745738638,94.24468634538366,chicken-meat-farm,chicken,306
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.3837927261332,-33.30775185365873,121.49402569338747,chicken-meat-farm,chicken,212
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.01738753979583,-33.6986404231626,48.73739025594742,chicken-meat-farm,chicken,392
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.9827459233739,-31.10534858354042,53.73830133606251,chicken-meat-farm,chicken,270
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.32756338709282,-31.34753101165157,82.15496160820697,chicken-meat-farm,chicken,66
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.69491062350232,-30.782983155756355,90.25059559061823,chicken-meat-farm,chicken,382
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.99436077037268,-31.212219224803604,24.86336739202476,chicken-meat-farm,chicken,420
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.6612592585722,-30.81259459882049,66.04343976594754,chicken-meat-farm,chicken,321
