id,status,clinical_date,notification_date,recovery_date,removal_date,vacc_date,longitude,latitude,area_h,n_total
0,NIL,NA,NA,NA,NA,NA,153.02197791264726,-27.733581610271173,766.2864589317484,1000
1,NIL,NA,NA,NA,NA,NA,152.72015280331829,-27.11020956247772,283.8486126354708,1000
2,NIL,NA,NA,NA,NA,NA,152.68599566652045,-27.06255810323963,147.6575120509245,1000
3,NIL,NA,NA,NA,NA,NA,153.04357650028402,-27.558742976822256,117.19277991360858,1000
4,NIL,NA,NA,NA,NA,NA,152.83677153023115,-27.742113387553022,149.7871493466159,1000
5,NIL,NA,NA,NA,NA,NA,153.1460163007074,-27.602911192868625,298.5935727682606,1000
6,NIL,NA,NA,NA,NA,NA,151.26395445711825,-28.464812882558206,128.24808943477538,1000
7,NIL,NA,NA,NA,NA,NA,151.20691166331096,-28.81447223213666,324.81782201799103,1000
8,NIL,NA,NA,NA,NA,NA,151.43368472882685,-28.327667094949078,51.23850971014078,1000
9,NIL,NA,NA,NA,NA,NA,150.663730568767,-33.460701349990416,88.04250316438248,1000
10,NIL,NA,NA,NA,NA,NA,150.88668218585377,-34.045350752256155,32.088583262016286,1000
11,NIL,NA,NA,NA,NA,NA,150.85039355541426,-33.62709423427826,83.56639025643194,1000
12,NIL,NA,NA,NA,NA,NA,150.81851118069216,-33.40989076617795,26.028734760895837,1000
13,NIL,NA,NA,NA,NA,NA,150.53575588704342,-34.011882066870285,140.42226940303817,1000
14,NIL,NA,NA,NA,NA,NA,151.111939506115,-33.6941509335647,234.5486927999985,1000
15,NIL,NA,NA,NA,NA,NA,146.0850383725222,-34.564806009059865,191.41991763501636,1000
16,NIL,NA,NA,NA,NA,NA,145.83085185098545,-34.05335173421787,178.81028097429345,1000
17,NIL,NA,NA,NA,NA,NA,146.31302922596768,-34.628632672727385,103.17810882430166,1000
18,NIL,NA,NA,NA,NA,NA,150.94486242994492,-32.63234797411114,314.3867743620837,1000
19,NIL,NA,NA,NA,NA,NA,150.66843327128663,-32.260857035221065,354.6337763226094,1000
20,NIL,NA,NA,NA,NA,NA,151.4923970920239,-32.44286423400253,154.83718979394823,1000
21,NIL,NA,NA,NA,NA,NA,150.6315735202314,-33.645908953125826,167.38321403341766,1000
22,NIL,NA,NA,NA,NA,NA,151.06534271216475,-33.75460640780241,76.5984240650058,1000
23,NIL,NA,NA,NA,NA,NA,150.93886111850207,-33.66299007563495,279.3446920774799,1000
24,NIL,NA,NA,NA,NA,NA,151.16371212469517,-33.61605745738638,94.24468634538366,1000
